#More can be found on the website https://www.adminsub.net/?sc0=3
MAC:Vendor            
FCFC48Apple, Inc.
B857D8Samsung Electronics Co.,Ltd
B4EF39Samsung Electronics Co.,Ltd
B4CE40Samsung Electronics Co.,Ltd
B4BFF6Samsung Electronics Co.,Ltd
B479A7SAMSUNG ELECTRO-MECHANICS(THAILAND)
B47443Samsung Electronics Co.,Ltd
B46293Samsung Electronics Co.,Ltd
B43A28Samsung Electronics Co.,Ltd
B41A1DSamsung Electronics Co.,Ltd
B407F9SAMSUNG ELECTRO MECHANICS CO., LTD.
B0EC71Samsung Electronics Co.,Ltd
B0DF3ASamsung Electronics Co.,Ltd
B0D09CSamsung Electronics Co.,Ltd
B0C559Samsung Electronics Co.,Ltd
B0C4E7Samsung Electronics Co.,Ltd
B06FE0Samsung Electronics Co.,Ltd
B047BFSamsung Electronics Co.,Ltd
ACEE9ESamsung Electronics Co.,Ltd
ACC33ASamsung Electronics Co.,Ltd
ACAFB9Samsung Electronics Co.,Ltd
AC5F3ESAMSUNG ELECTRO-MECHANICS(THAILAND)
AC5A14Samsung Electronics Co.,Ltd
AC3613Samsung Electronics Co.,Ltd
AC1E92Samsung Electronics Co.,LTD
A8F274Samsung Electronics Co.,Ltd
A8DB03SAMSUNG ELECTRO-MECHANICS(THAILAND)
A8CAB9SAMSUNG ELECTRO MECHANICS CO., LTD.
A89FBASamsung Electronics Co.,Ltd
A887B3Samsung Electronics Co.,Ltd
A88195Samsung Electronics Co.,Ltd
A87C01Samsung Electronics Co.,Ltd


